,country,region,depression_rate,corruption_score,average_temperature,gini,unemployment_rate,Family size,Public services index,crime index,litracy_rate,gender_equality,democracy_score,Air Quality
0,Albania,Europe,4.8,36.0,12.47,59.0,11.7,3.3,4.1,5.63,97.55,0.77,6.08,0
1,Algeria,Africa,4.5,33.0,23.61,27.6,13.6,,5.3,4.51,79.61,0.633,3.77,1
2,Andorra,Europe,,,8.33,,,,,2.96,100.0,,,0
3,Angola,Africa,3.6,33.0,21.77,51.3,9.6,4.82,9.1,5.29,71.16,0.657,3.66,3
4,Argentina,Americas,4.7,38.0,15.1,42.9,11.5,3.26,4.5,4.38,98.09,0.752,6.95,0
5,Armenia,Asia,5.0,46.0,7.86,29.9,18.3,3.54,3.6,3.26,99.77,0.673,5.35,1
6,Australia,Oceania,5.9,75.0,22.05,34.4,6.5,2.55,2.5,4.0,99.0,0.731,8.96,0
7,Austria,Europe,5.1,71.0,7.43,30.8,5.4,2.88,2.0,4.04,98.0,0.777,8.16,0
8,Azerbaijan,Asia,4.6,23.0,13.37,26.6,4.8,4.55,5.2,5.08,99.81,0.688,2.68,0
9,Bahrain,Asia,4.8,44.0,27.67,,1.2,,3.2,4.83,95.72,0.632,2.49,3
10,Bangladesh,Asia,4.1,25.0,25.69,32.4,4.4,4.47,7.8,4.98,61.49,0.719,5.99,3
11,Belarus,Europe,5.6,39.0,7.45,25.3,4.1,2.48,3.0,5.08,99.72,0.758,2.59,0
12,Belgium,Europe,4.8,,10.67,27.2,5.5,2.36,2.8,4.34,99.0,0.789,7.51,0
13,Belize,Americas,4.4,,25.7,53.3,9.1,,5.7,4.64,82.78,0.699,,0
14,Bermuda,Americas,,,21.67,,8.9,,,,98.0,,,0
15,Bolivia,Americas,4.4,31.0,20.78,41.6,7.9,3.53,6.6,4.3,95.14,0.722,5.08,1
16,Bosnia and Herzegovina,,5.1,34.0,10.38,33.0,15.9,,,5.89,98.49,,,1
17,Brazil,Americas,5.8,38.0,25.45,53.4,13.7,3.31,7.5,6.5,92.59,0.695,6.92,1
18,Brunei,,,,27.06,,,,2.3,2.76,96.66,0.678,,0
19,Bulgaria,Europe,5.2,43.0,11.37,41.3,5.1,2.34,4.2,5.43,98.39,0.746,6.71,0
20,Burkina Faso,Africa,3.6,42.0,29.26,35.3,4.7,5.92,8.8,5.49,37.75,0.651,3.73,1
21,Cambodia,Asia,3.4,24.0,27.41,,1.2,4.61,7.9,5.83,78.35,0.684,3.1,0
22,Canada,Americas,4.7,74.0,-4.06,33.3,9.5,2.45,2.0,3.66,99.0,0.772,9.24,1
23,Cape Verde,,4.9,,,,,,5.9,,88.47,0.716,,0
24,Cayman Islands,Americas,,,27.82,,4.2,,,,98.87,,,0
25,Central African Republic,Africa,4.2,24.0,25.47,56.2,,4.91,10.0,7.04,36.75,,1.32,3
26,Chad,Africa,3.5,19.0,27.65,43.3,1.1,5.78,9.7,5.86,40.02,0.593,1.55,1
