,country,region,depression_rate,corruption_score,average_temperature,gini,unemployment_rate,Family size,Public services index,crime index,litracy_rate,gender_equality,democracy_score,Air Quality
0,Albania,Europe,4.8,36.0,12.47,59.0,11.7,3.3,4.1,5.63,97.55,0.77,6.08,0
1,Algeria,Africa,4.5,33.0,23.61,27.6,13.6,5.05,5.3,4.51,79.61,0.633,3.77,1
2,Angola,Africa,3.6,33.0,21.77,51.3,9.6,4.82,9.1,5.29,71.16,0.657,3.66,3
3,Argentina,Americas,4.7,38.0,15.1,42.9,11.5,3.26,4.5,4.38,98.09,0.752,6.95,0
4,Armenia,Asia,5.0,46.0,7.86,29.9,18.3,3.54,3.6,3.26,99.77,0.673,5.35,1
5,Australia,Oceania,5.9,75.0,22.05,34.4,6.5,2.55,2.5,4.0,99.0,0.731,8.96,0
6,Austria,Europe,5.1,71.0,7.43,30.8,5.4,2.88,2.0,4.04,98.0,0.777,8.16,0
7,Azerbaijan,Asia,4.6,23.0,13.37,26.6,4.8,4.55,5.2,5.08,99.81,0.688,2.68,0
8,Bahrain,Asia,4.8,44.0,27.67,34.55,1.2,4.29,3.2,4.83,95.72,0.632,2.49,3
9,Bangladesh,Asia,4.1,25.0,25.69,32.4,4.4,4.47,7.8,4.98,61.49,0.719,5.99,3
10,Belarus,Europe,5.6,39.0,7.45,25.3,4.1,2.48,3.0,5.08,99.72,0.758,2.59,0
11,Belgium,Europe,4.8,58.61,10.67,27.2,5.5,2.36,2.8,4.34,99.0,0.789,7.51,0
12,Belize,Americas,4.4,40.72,25.7,53.3,9.1,3.56,5.7,4.64,82.78,0.699,6.52,0
13,Bermuda,Americas,4.61,40.72,21.67,44.71,8.9,3.56,5.71,5.56,98.0,0.73,6.52,0
14,Bolivia,Americas,4.4,31.0,20.78,41.6,7.9,3.53,6.6,4.3,95.14,0.722,5.08,1
15,Bosnia and Herzegovina,Europe,5.1,34.0,10.38,33.0,15.9,2.54,2.86,5.89,98.49,0.76,7.4,1
16,Brazil,Americas,5.8,38.0,25.45,53.4,13.7,3.31,7.5,6.5,92.59,0.695,6.92,1
17,Brunei,Asia,4.24,41.68,27.06,34.55,6.24,4.29,2.3,2.76,96.66,0.678,4.62,0
18,Bulgaria,Europe,5.2,43.0,11.37,41.3,5.1,2.34,4.2,5.43,98.39,0.746,6.71,0
19,Burkina Faso,Africa,3.6,42.0,29.26,35.3,4.7,5.92,8.8,5.49,37.75,0.651,3.73,1
20,Cambodia,Asia,3.4,24.0,27.41,34.55,1.2,4.61,7.9,5.83,78.35,0.684,3.1,0
