"country","latestRate","dataYear","pop2023"
"Djibouti",67.900002,2003,1136455
"Togo",66.53759,2015,9053799
"Malawi",65.963829,2015,20931751
"Nepal",64.663643,2015,30896590
"Madagascar",64.656303,2015,30325732
"Bhutan",63.906818,2015,787424
"Papua New Guinea",63.433491,2015,10329931
"Bangladesh",61.493832,2015,172954319
"Haiti",60.68935,2015,11724763
"Guinea-Bissau",59.77285,2015,2150842
"Nigeria",59.568081,2015,223804632
"Mozambique",58.836552,2015,33897354
"Sudan",58.601318,2015,48109006
"Pakistan",56.440311,2015,240485658
"Senegal",55.624851,2015,17763163
"Gambia",55.572762,2015,2773168
"Mauritania",52.123562,2015,4862989
"Wallis and Futuna",50,1969,11502
"Ethiopia",49.031521,2015,126527060
"Sierra Leone",48.4319,2015,8791092
"Liberia",47.60014,2015,5418377
"Ivory Coast",43.26532,2015,28873034
"Chad",40.018242,2015,18278568
"Benin",38.44714,2015,13712828
"Afghanistan",38.168041,2015,42239854
"Somalia",37.799999,2001,18143378
"Burkina Faso",37.7467,2015,23251485
"Central African Republic",36.752609,2015,5742315
"Mali",33.068871,2015,23293698
"South Sudan",31.97625,2015,11088796
"Guinea",30.47279,2015,14190612
"Niger",19.1026,2015,27202843
